architecture,hidden_layers,type,params,accuracy,macro_recall,macro_far,macro_mar,macro_gma,train_time_s,stopped_epoch
A8_Residual,"[128, 128, 128]",residual,106634,0.24815607899119677,0.24831806356746977,0.08353256720727159,0.7516819364325302,0.3159282979668781,23.094801664352417,50
A1_Vanilla_Base,"[64, 32]",sequential,4138,0.24791815369973827,0.24809354145458662,0.08355823940579729,0.7519064585454134,0.3243191400657805,20.154176950454712,85
A6_Deep_Constant,"[128, 128, 128, 128]",sequential,55562,0.2464906019509874,0.2464608076009501,0.0837360227005699,0.7535391923990499,0.28577887051660256,16.730757474899292,50
A4_Deep_Funnel,"[256, 128, 64, 32]",sequential,50858,0.24553890078515347,0.2456888361045131,0.08382430626702189,0.754311163895487,0.29230982360992075,16.788302421569824,50
A7_Wide_Deep,"[512, 256, 128, 64]",sequential,187722,0.24220794670473472,0.24238038683406854,0.08419258664069951,0.7576196131659315,0.2896162970213128,22.97570300102234,50
A3_Wide_Shallow,"[256, 128]",sequential,41098,0.24220794670473472,0.2423798212871847,0.08419251674633925,0.7576201787128153,0.2958650830922883,13.49805998802185,50
A5_Deep_Diamond,"[64, 128, 256, 128, 64]",sequential,87050,0.24197002141327623,0.24212136636127135,0.0842206701946544,0.7578786336387286,0.2668541148225228,19.756011247634888,50
A9_Pyramid,"[32, 64, 128, 256, 128, 64, 32]",sequential,90506,0.23530811325243872,0.2352618482072164,0.08497909389790084,0.7647381517927837,0.25852002550283953,22.493898391723633,50
A10_Narrow_Deep,"[48, 48, 48, 48, 48, 48]",sequential,14410,0.2291220556745182,0.22928514873883046,0.08564643127084862,0.7707148512611695,0.2510690250715097,16.156150817871094,50
A2_Medium_Standard,"[128, 64, 32]",sequential,14250,0.22269807280513917,0.2228560117633752,0.08636015054126892,0.7771439882366249,0.28836525202686203,12.764499425888062,50
