time[s],P_suc[bar],T_suc[degC],P_dis[bar],T_dis[degC],P_gc_mid[bar],T_gc_mid[degC],P_gc_out[bar],T_gc_out[degC],P_eva_in[bar],T_eva_in[degC],P_eva_out[bar],T_eva_out[degC],W_comp[kW],Q_heat_s1[kW],Q_heat_s2[kW],Q_heat_total[kW],COP[null],m_dot[kg/s],T_air_in[degC],T_mid[degC],T_air_out[degC],V_air_indoor[kg/min],T_amb[degC],V_air_outdoor[m/s],h_suc[kJ/kg],h_dis[kJ/kg],h_gc_mid[kJ/kg],h_gc_out[kJ/kg],h_eva_in[kJ/kg],h_eva_out[kJ/kg],N_comp[rpm],Valve_open[null],V_sep_liq[%],SH_suc[K],SH_evap[K],T_app[K],PR[null],eta_is[null],eta_v[null]
0,34.8091611206498,0,34.8091611206498,0,34.8091611206498,0,34.8091611206498,0,34.8091611206498,0,34.8091611206498,0,0,0,0,0,0,0,0,0,0,6,-20,2.5,295.610348198716,295.610348198716,295.610348198716,295.610348198716,295.610348198716,295.610348198716,2000,0.025,12.9792211750998,0.0458138978759166,0.0458138978759166,0,1,0.823991122302393,0
10,19.1374485778915,-11.3815684167386,52.6818473385762,69.5642650729006,52.5539183255785,16.4073535158631,52.3233593819851,12.9132325272832,19.7658352184828,-15.0460931633045,19.6184015009961,-19.6927740014987,0.654098835340058,0.875424166396566,1.60734874444256,2.48277291083912,3.79571522940927,0.0091287030825426,0,11.690501337592,16.645855376555,6,-20,2.5,448.923495630838,504.804287936671,408.906310044204,232.82995725797,443.278018707478,437.716245222645,2000,0.025,25.7806286086556,9.54841448893498,0.435659848033623,12.9132325272832,2.7528145731734,0.823991122302393,0.864171427853901
10,19.1374485778915,-11.381568416738,52.6818473385763,69.5642650729004,52.5539183255785,16.4073535158631,52.3233593819851,12.9132325272862,19.7658352184828,-15.0460931633042,19.6184015009961,-19.6927740014987,0.654098835695644,0.875424166872471,1.60734874531637,2.48277291218884,3.79571522940929,0.0091287030875052,0,11.690501337592,16.645855376555,6,-20,2.5,448.923495630838,504.804287936671,408.906310044204,232.829957257968,443.278018707478,437.716245222645,2000,0.025,25.7806286086556,9.54841448893555,0.435659848033623,12.9132325272862,2.7528145731734,0.823991122302415,0.864171428323691
20,17.9207026311976,-22.0365577614576,56.2216551918303,67.1314842497835,56.1064464979824,21.3674480342376,55.8697504727443,12.6900300168506,18.519901083052,-21.9425501762929,18.3654832146722,-20.1063177082525,0.690953572998003,0.702426850917855,1.66045844206482,2.36288529298267,3.41974538568527,0.0088464798151149,0,14.2314562983297,20.635033179166,6,-20,2.5,438.502185401933,498.364105612622,418.962257013171,231.265175601446,353.649961526444,439.929362268701,2000,0.025,25.1269403310332,0.989272097195226,2.14162320014773,12.6900300168506,3.13724614200984,0.83053393491977,0.840019880469899
20,17.9207026311976,-22.0365577614576,56.2216551918303,67.1314842497835,56.1064464979824,21.3674480342376,55.8697504727443,12.6900300168482,18.519901083052,-21.942550176293,18.3654832146722,-20.1063177082525,0.690953572998003,0.702426850917855,1.66045844206482,2.36288529298267,3.41974538568527,0.0088464798151149,0,14.2314562983297,20.635033179166,6,-20,2.5,438.502185401933,498.364105612622,418.962257013171,231.265175601446,353.649961526443,439.929362268701,2000,0.025,25.1269403310332,0.989272097195226,2.14162320014779,12.6900300168482,3.13724614200984,0.83053393491977,0.840019880469899
30,17.4801017549788,-23.4554408910547,56.2567036653359,67.5346224977862,56.143952818372,22.1099778417004,55.8919125859988,15.0510920896471,18.0875812854241,-22.6946348374279,17.9142014319453,-22.9999686108416,0.69130055708491,0.671226412587556,1.57617543349071,2.24740184607827,3.25097647187666,0.0086343363297211,0,14.7391118427191,21.338927071764,6,-20,2.5,437.717674865291,498.854040950615,421.114839354187,238.567464165061,286.683133687702,391.961676942935,2000,0.025,26.2026472711999,0.355045725341743,0.0373357565966899,15.0510920896471,3.21832815700358,0.830634998448388,0.83701435526045
30.0000000000001,17.4801017549788,-23.4554408910547,56.2567036653359,67.5346224977866,56.143952818372,22.1099778417,55.8919125859988,15.0510920896472,18.0875812854241,-22.6946348374279,17.9142014319453,-22.9999686108416,0.691300557084909,0.671226412587561,1.57617543349072,2.24740184607828,3.25097647187668,0.0086343363297211,0,14.7391118427191,21.3389270717641,6,-20,2.5,437.717674865291,498.854040950615,421.114839354186,238.56746416506,286.683133687702,391.961676942935,2000,0.025,26.2026472711999,0.355045725341743,0.0373357565966899,15.0510920896472,3.21832815700358,0.830634998448388,0.83701435526045
40,17.4319927271068,-23.6140613241407,55.4728575228884,66.3511818301171,55.3582750056018,21.9007614263305,55.0916577287752,17.5601343627715,18.0409625692444,-22.7765227894872,17.8686103199862,-23.0806200459037,0.683652489918371,0.649309471435977,1.51822971055733,2.1675391819933,3.17052773734812,0.0086497393612734,0,14.5506494299777,21.1451616253436,6,-20,2.5,437.62853156955,498.080654179379,423.013713510269,247.490539094779,291.045890974713,398.019949411419,2000,0.025,29.104067514531,0.2829763386456,0.037237737866775,17.5601343627715,3.18224418695563,0.830479132733064,0.84041608736204
40.0000000000001,17.4319927271068,-23.6140613241407,55.4728575228884,66.3511818301171,55.3582750056018,21.9007614263307,55.0916577287752,17.5601343627692,18.0409625692444,-22.7765227894872,17.8686103199862,-23.0806200459037,0.683652490368468,0.649309471863458,1.51822971155687,2.16753918342032,3.17052773734809,0.0086497393669681,0,14.5506494299777,21.1451616253436,6,-20,2.5,437.62853156955,498.080654179379,423.013713510269,247.490539094781,291.045890974713,398.019949411419,2000,0.025,29.104067514531,0.2829763386456,0.037237737866775,17.5601343627692,3.18224418695563,0.830479132733064,0.840416087915342
50,17.4414865740426,-23.609540948993,55.2138195957984,65.8645615604864,55.0990231793531,21.6967095615721,54.8374781560639,18.1970772254675,18.0441485145666,-22.7709216260891,17.8794513278304,-23.0614284471542,0.680119754952996,0.645081136736427,1.47402371974639,2.11910485648282,3.11578195023798,0.0086634495741441,0,14.4622957130666,20.9293149113361,6,-20,2.5,437.61300803888,497.703128669909,423.243050012366,253.100232520176,299.587781249673,411.48456704635,2000,0.025,31.322599771899,0.27040285325981,0.0372610832515043,18.1970772254675,3.16566018391865,0.831105415040692,0.841189153187819
