# Export CSV from Simcenter Amesim 2304 (encoding="UTF - 8 - BOM")
"Time - load=0.86 kg ""1""","liquid volume percentage - load=0.86 kg ""1""","liquid volume percentage - load=0.817 kg ""2""","liquid volume percentage - load=0.774 kg ""3""","liquid volume percentage - load=0.688 kg ""5""","liquid volume percentage - load=0.645 kg ""6""","liquid volume percentage - load=0.602 kg ""7""","liquid volume percentage - load=0.559 kg ""8""","liquid volume percentage - load=0.516 kg ""9""","liquid volume percentage - load=0.473 kg ""10""","liquid volume percentage - load=0.43 kg ""11"""
"s","%","%","%","%","%","%","%","%","%","%"
0.00000000000000e+00,3.76732196215662e+01,3.52038197769195e+01,3.27344199322729e+01,2.77956202429796e+01,2.53262203983330e+01,2.28568205536863e+01,2.03874207090397e+01,1.79180208643931e+01,1.54486210197464e+01,1.29792211750998e+01
1.00000000000000e+01,7.16923398377290e+01,6.69597115966903e+01,6.24498007110838e+01,5.33867129784148e+01,4.88118487938264e+01,4.42591795081036e+01,3.96856022298533e+01,3.50602305696602e+01,3.03967494282606e+01,2.57806286086556e+01
2.00000000000000e+01,7.47303635935945e+01,6.88700560477792e+01,6.39036032598161e+01,5.38019143163087e+01,4.86837192083845e+01,4.36311117511852e+01,3.87264501392785e+01,3.40726081932164e+01,2.95824900641198e+01,2.51269403310332e+01
3.00000000000001e+01,8.14176441547105e+01,7.51906745587940e+01,6.97094574554264e+01,5.85348088170430e+01,5.29382836168169e+01,4.74543668819943e+01,4.21143520823214e+01,3.68003669898718e+01,3.15061088591961e+01,2.62026472711999e+01
4.00000000000001e+01,8.85164657309943e+01,8.19466470841457e+01,7.60435250123265e+01,6.42009659009919e+01,5.83447101547999e+01,5.25407346083290e+01,4.67897300677657e+01,4.09778174821043e+01,3.50767066166271e+01,2.91040675145310e+01
5.00000000000001e+01,8.95164217099966e+01,8.82315424951972e+01,8.20852405278878e+01,6.97518523069619e+01,6.35533721064141e+01,5.73313057281338e+01,5.10664686211109e+01,4.46546120268895e+01,3.81172559669579e+01,3.13225997718990e+01
6.00000000000001e+01,8.95161624188487e+01,8.95144950143691e+01,8.76334566697686e+01,7.46327555724312e+01,6.80062139343299e+01,6.12809822720584e+01,5.44771363766742e+01,4.74742787799592e+01,4.02079858226444e+01,3.25623419602682e+01
7.00000000000001e+01,8.95153840422418e+01,8.95139000557240e+01,8.95114125783439e+01,7.85947030558738e+01,7.15131311971368e+01,6.43011200614309e+01,5.69199446085386e+01,4.92492281348801e+01,4.13171620799539e+01,3.32161059767262e+01
8.00000000000002e+01,8.95148911414159e+01,8.95122493717878e+01,8.95104572330346e+01,8.16038599716672e+01,7.40352491627372e+01,6.62656272249655e+01,5.82905640794144e+01,5.01526245225952e+01,4.19072784789912e+01,3.35830534873719e+01
9.00000000000002e+01,8.95148885054553e+01,8.95121550434813e+01,8.95086809132033e+01,8.35395874466669e+01,7.54649983566290e+01,6.72717238373504e+01,5.89945041943281e+01,5.06438256891852e+01,4.22397652378376e+01,3.37958273377604e+01
1.00000000000000e+02,8.95150256982193e+01,8.95123652006630e+01,8.95085370437077e+01,8.45231697837592e+01,7.61925135270720e+01,6.78092727036186e+01,5.93849938686803e+01,5.09228676687507e+01,4.24335750708468e+01,3.39320312829617e+01
1.10000000000000e+02,8.95150935136086e+01,8.95124902469357e+01,8.95088316152073e+01,8.50483629173540e+01,7.65936310545111e+01,6.81119556479071e+01,5.96092652460047e+01,5.10886568061216e+01,4.25599736918789e+01,3.40258837937034e+01
1.20000000000000e+02,8.95150944635166e+01,8.95124879499051e+01,8.95089391983051e+01,8.53434431215045e+01,7.68227460269868e+01,6.82885388643185e+01,5.97476505519927e+01,5.11995340471419e+01,4.26469710930175e+01,3.40921450205633e+01
1.30000000000000e+02,8.95150798394988e+01,8.95124633671233e+01,8.95089050494742e+01,8.55149949810800e+01,7.69617181246668e+01,6.84034718453100e+01,5.98417876627268e+01,5.12763531394618e+01,4.27087158038031e+01,3.41398211901967e+01
1.40000000000000e+02,8.95150736937172e+01,8.95124522086805e+01,8.95088747109286e+01,8.56256212188858e+01,7.70551465503699e+01,6.84823074424388e+01,5.99079214906536e+01,5.13313410382604e+01,4.27532852108818e+01,3.41741150767452e+01
1.50000000000000e+02,8.95150748038443e+01,8.95124536677224e+01,8.95088740949633e+01,8.57011856088123e+01,7.71204907005005e+01,6.85385448975649e+01,5.99556671000458e+01,5.13711692330829e+01,4.27854020118317e+01,3.41984757846284e+01
1.60000000000000e+02,8.95150769730101e+01,8.95124566550892e+01,8.95088800025433e+01,8.57551352319999e+01,7.71677202836645e+01,6.85794141973548e+01,5.99903309171198e+01,5.13998793641935e+01,4.28082438840317e+01,3.42154401528622e+01
1.70000000000000e+02,8.95150777767104e+01,8.95124575719715e+01,8.95088815565239e+01,8.57944858484007e+01,7.72021833575587e+01,6.86091071362613e+01,6.00152898268662e+01,5.14202714907015e+01,4.28241657160945e+01,3.42269716448046e+01
1.80000000000000e+02,8.95150776580751e+01,8.95124572852241e+01,8.95088807375244e+01,8.58232398292207e+01,7.72271928576856e+01,6.86304314473208e+01,6.00329615299389e+01,5.14344537690405e+01,4.28349977543890e+01,3.42346092990808e+01
1.90000000000000e+02,8.95150774295792e+01,8.95124569697935e+01,8.95088802195852e+01,8.58440433655572e+01,7.72450773668625e+01,6.86454605720122e+01,6.00451981708827e+01,5.14440760033682e+01,4.28421778131544e+01,3.42395401625763e+01
2.00000000000001e+02,8.95150773645288e+01,8.95124569068400e+01,8.95088802561980e+01,8.58588342721758e+01,7.72576038615642e+01,6.86558071595268e+01,6.00534594886779e+01,5.14504361289225e+01,4.28468168870513e+01,3.42426493539761e+01
2.10000000000001e+02,8.95150773953112e+01,8.95124569518301e+01,8.95088803693903e+01,8.58691159583188e+01,7.72661645770765e+01,6.86627485287844e+01,6.00588930048536e+01,5.14545344623196e+01,4.28497442002558e+01,3.42445696784989e+01
