architecture,hidden_layers,type,params,accuracy,macro_recall,macro_far,macro_mar,macro_gma,train_time_s,stopped_epoch
A8_Residual,"[128, 128, 128]",residual,105994,0.9966690459195813,0.9966672322135505,0.0003701116059165855,0.003332767786449497,0.9981451705137825,69.52345418930054,120
A3_Wide_Shallow,"[256, 128]",sequential,39818,0.9964311206281228,0.9964291369754552,0.00039653167409713617,0.003570863024544735,0.9980110368156426,68.10962295532227,210
A7_Wide_Deep,"[512, 256, 128, 64]",sequential,185162,0.9961931953366643,0.9961916072842438,0.00042295174227768666,0.0038083927157561365,0.9978802210601811,81.55817484855652,141
A10_Narrow_Deep,"[48, 48, 48, 48, 48, 48]",sequential,14170,0.9961931953366643,0.9961910417373601,0.00042294475284166,0.0038089582626399726,0.9978769969566137,56.03364038467407,133
A2_Medium_Standard,"[128, 64, 32]",sequential,13610,0.9957173447537473,0.9957154168080533,0.0004758198363828942,0.004284583191946612,0.9976141962852134,41.034756660461426,128
A5_Deep_Diamond,"[64, 128, 256, 128, 64]",sequential,86730,0.9945277182964549,0.9945243750706932,0.0006079830822098863,0.005475624929306639,0.996947564558929,64.08920979499817,131
A4_Deep_Funnel,"[256, 128, 64, 32]",sequential,49578,0.9940518677135379,0.9940504467820382,0.0006608581657511205,0.005949553217961769,0.996681000020148,29.465022802352905,70
A1_Vanilla_Base,"[64, 32]",sequential,3818,0.9938139424220794,0.9938106549032912,0.0006872992022397507,0.006189345096708517,0.9965372120202615,37.789249420166016,141
A6_Deep_Constant,"[128, 128, 128, 128]",sequential,54922,0.9935760171306209,0.9935725596651963,0.0007137262598563281,0.0064274403348037554,0.9964187614337296,47.609742641448975,113
A9_Pyramid,"[32, 64, 128, 256, 128, 64, 32]",sequential,90346,0.9847727813466571,0.9847766089808843,0.0016919257895231985,0.015223391019115485,0.9914825488450043,37.97541117668152,64
