rank,feature,gini_importance,cumulative_importance
1,h_gc_mid[kJ/kg],0.24797656063254317,0.24797656063254317
2,P_dis[bar],0.08023627790223378,0.32821283853477695
3,h_dis[kJ/kg],0.06984743150301588,0.3980602700377928
4,P_gc_out[bar],0.052008761484538944,0.45006903152233174
5,Q_heat_s2[kW],0.04509220363032921,0.495161235152661
6,Q_heat_s1[kW],0.044872364047942113,0.5400335992006031
7,T_mid[degC],0.03860374437399725,0.5786373435746004
8,h_eva_in[kJ/kg],0.03758722433477801,0.6162245679093784
9,T_air_in[degC],0.0358431563805994,0.6520677242899778
10,P_gc_mid[bar],0.03463862212259073,0.6867063464125686
11,W_comp[kW],0.03184667551589905,0.7185530219284676
12,T_eva_out[degC],0.0317363764512903,0.7502893983797579
13,Q_heat_total[kW],0.02727273179941016,0.7775621301791681
14,P_eva_out[bar],0.025620382911068648,0.8031825130902367
15,h_gc_out[kJ/kg],0.02452408401439245,0.8277065971046291
16,P_eva_in[bar],0.023748532241436197,0.8514551293460654
17,P_suc[bar],0.02346707455204147,0.8749222038981068
18,T_gc_mid[degC],0.021647841770494333,0.8965700456686011
19,T_eva_in[degC],0.020818820981330036,0.9173888666499311
20,T_suc[degC],0.018847760903372472,0.9362366275533036
21,T_gc_out[degC],0.018681801154719065,0.9549184287080227
22,T_dis[degC],0.017512375153557476,0.9724308038615802
23,h_suc[kJ/kg],0.014502830613975653,0.9869336344755558
24,V_air_outdoor[m/s],0.007017526201976627,0.9939511606775324
25,COP[null],0.006048839322467622,1.0
26,m_dot[kg/s],0.0,1.0
27,V_air_indoor[kg/min],0.0,1.0
28,T_air_out[degC],0.0,1.0
29,T_amb[degC],0.0,1.0
30,h_eva_out[kJ/kg],0.0,1.0
