rank,feature,gini_importance,cumulative_importance
1,h_gc_mid[kJ/kg],0.9651719594786742,0.9651719594786742
2,T_dis[degC],0.0066714689668287705,0.971843428445503
3,T_gc_mid[degC],0.006297991548452255,0.9781414199939552
4,h_suc[kJ/kg],0.005029582290322483,0.9831710022842777
5,P_eva_out[bar],0.004693629688933795,0.9878646319732115
6,V_air_outdoor[m/s],0.004295858476240043,0.9921604904494515
7,h_gc_out[kJ/kg],0.002759942504695266,0.9949204329541468
8,Q_heat_s2[kW],0.00218634051610497,0.9971067734702518
9,P_gc_mid[bar],0.0013218071747693445,0.9984285806450212
10,W_comp[kW],0.0007924972698468769,0.999221077914868
11,h_eva_in[kJ/kg],0.0006344674438892852,0.9998555453587573
12,T_mid[degC],0.00014445464124265034,1.0
13,P_dis[bar],0.0,1.0
14,P_suc[bar],0.0,1.0
15,Q_heat_s1[kW],0.0,1.0
16,T_eva_out[degC],0.0,1.0
17,P_eva_in[bar],0.0,1.0
18,T_eva_in[degC],0.0,1.0
19,T_gc_out[degC],0.0,1.0
20,P_gc_out[bar],0.0,1.0
21,T_suc[degC],0.0,1.0
22,COP[null],0.0,1.0
23,V_air_indoor[kg/min],0.0,1.0
24,T_air_out[degC],0.0,1.0
25,T_air_in[degC],0.0,1.0
26,m_dot[kg/s],0.0,1.0
27,Q_heat_total[kW],0.0,1.0
28,T_amb[degC],0.0,1.0
29,h_dis[kJ/kg],0.0,1.0
30,h_eva_out[kJ/kg],0.0,1.0
