h_eva_in[kJ/kg],P_dis[bar],P_gc_out[bar],Q_heat_s1[kW],T_air_in[degC],Q_heat_s2[kW],h_gc_mid[kJ/kg],T_eva_out[degC],T_mid[degC],W_comp[kW],P_gc_mid[bar],h_dis[kJ/kg],h_gc_out[kJ/kg],P_suc[bar],T_dis[degC],T_eva_in[degC],P_eva_out[bar],T_suc[degC],label,condition
435.82173208052023,136.43591535500423,11.732585616334404,2.327688647778451,23.165894156368665,4.552860049808912,222.9508711722964,2.121517854314937,45.28816405931264,2.225171402030461,47.498821073273575,395.15625464809114,277.4086866368698,-28.287102796516137,92.66313448187408,16.153769824778184,-26.23053025444824,92.84986426139037,0,0pct
435.82173208052,136.43591535500445,11.732585616330825,2.327688647778489,23.165894156368665,4.552860049808963,222.95087117229315,2.121517854314956,45.28816405931258,2.2251714020304743,47.498821073273966,395.15625464809045,277.40868663687013,-28.2871027965154,92.66313448187411,16.15376982477819,-26.23053025444824,92.8498642613904,0,0pct
435.8217320805206,136.43591535500497,11.732585616330766,2.327688649426184,23.165894156368665,4.552860053031777,222.9508711722943,2.1215178558166983,45.28816405931258,2.2251714036055934,47.49882107327409,395.1562546480917,277.40868663686894,-28.287102796515114,92.66313448187422,16.153769824778205,-26.230530254448208,92.8498642613905,0,0pct
435.82173208051967,136.43591535500553,11.732585616331788,2.327688647778468,23.165894156368665,4.552860049808949,222.95087117229528,2.1215178543149538,45.28816405931264,2.225171402030481,47.498821073274144,395.1562546480912,277.40868663687104,-28.28710279651571,92.66313448187427,16.15376982477819,-26.23053025444824,92.84986426139052,0,0pct
435.8217320805202,136.4359153550032,11.732585616333948,2.3276886477784564,23.16589415636872,4.552860049808915,222.95087117229644,2.1215178543149498,45.28816405931264,2.2251714020304583,47.498821073274144,395.1562546480909,277.40868663686894,-28.287102796516994,92.66313448187422,16.1537698247782,-26.230530254448208,92.84986426139052,0,0pct
435.82173208052,136.4359153550061,11.732585616333097,2.3276886477784555,23.165894156368665,4.552860049808955,222.95087117229556,2.121517854314972,45.28816405931264,2.2251714020305,47.49882107327432,395.1562546480906,277.40868663686973,-28.287102796514347,92.66313448187444,16.15376982477819,-26.23053025444824,92.8498642613907,0,0pct
435.82173208052046,136.43591535500587,11.732585616331788,2.327688647778446,23.165894156368665,4.552860049808944,222.95087117229596,2.1215178543149698,45.28816405931264,2.2251714020304965,47.498821073274144,395.15625464809057,277.4086866368692,-28.287102796514688,92.66313448187432,16.153769824778216,-26.230530254448183,92.8498642613906,0,0pct
435.82173208052234,136.43591535500587,11.7325856163352,2.3276886461307438,23.165894156368665,4.552860046586108,222.95087117229667,2.121517852813233,45.288164059312685,2.2251714004553653,47.49882107327426,395.1562546480908,277.4086866368682,-28.287102796516848,92.66313448187424,16.1537698247782,-26.230530254448208,92.84986426139052,0,0pct
435.8217320805206,136.43591535500371,11.732585616334347,2.327688646130751,23.165894156368665,4.552860046586095,222.95087117229616,2.121517852813191,45.28816405931264,2.225171400455344,47.49882107327375,395.15625464808977,277.40868663686865,-28.287102796516848,92.66313448187425,16.153769824778205,-26.230530254448208,92.84986426139052,0,0pct
435.8217320805208,136.43591535500633,11.732585616330198,2.3276886477784733,23.16589415636872,4.552860049808965,222.9508711722943,2.1215178543149675,45.28816405931264,2.225171402030492,47.49882107327437,395.156254648091,277.4086866368696,-28.28710279651452,92.66313448187422,16.15376982477819,-26.23053025444824,92.84986426139047,0,0pct
