rank,feature,gini_importance,cumulative_importance
1,h_dis[kJ/kg],0.12279669629362946,0.12279669629362946
2,Q_heat_s2[kW],0.12253965149053163,0.24533634778416108
3,P_eva_out[bar],0.12023402027348358,0.36557036805764465
4,h_eva_in[kJ/kg],0.05357722876451408,0.41914759682215874
5,T_eva_in[degC],0.044070083279376594,0.46321768010153536
6,Q_heat_total[kW],0.0440418565593077,0.507259536660843
7,h_suc[kJ/kg],0.04350888956755326,0.5507684262283963
8,T_mid[degC],0.041391691439017074,0.5921601176674134
9,W_comp[kW],0.036671146732031736,0.6288312643994451
10,P_suc[bar],0.035039277926301925,0.663870542325747
11,h_gc_out[kJ/kg],0.034421872252656104,0.6982924145784032
12,Q_heat_s1[kW],0.031231350160872882,0.729523764739276
13,T_gc_mid[degC],0.029067552856701255,0.7585913175959773
14,P_gc_mid[bar],0.025206112552314936,0.7837974301482923
15,T_suc[degC],0.023537216130714092,0.8073346462790064
16,T_dis[degC],0.022908811941332995,0.8302434582203394
17,P_dis[bar],0.022788380231584988,0.8530318384519244
18,T_gc_out[degC],0.021590079481728995,0.8746219179336534
19,T_eva_out[degC],0.02138320437041049,0.8960051223040639
20,P_eva_in[bar],0.02114806294863328,0.9171531852526972
21,COP[null],0.021120461337269927,0.9382736465899671
22,T_air_in[degC],0.020407487585325183,0.9586811341752923
23,h_gc_mid[kJ/kg],0.014046829428070931,0.9727279636033632
24,V_air_outdoor[m/s],0.013880174547854512,0.9866081381512177
25,P_gc_out[bar],0.013391861848782457,1.0000000000000002
26,m_dot[kg/s],0.0,1.0000000000000002
27,V_air_indoor[kg/min],0.0,1.0000000000000002
28,T_air_out[degC],0.0,1.0000000000000002
29,T_amb[degC],0.0,1.0000000000000002
30,h_eva_out[kJ/kg],0.0,1.0000000000000002
