architecture,hidden_layers,type,params,accuracy,macro_recall,macro_far,macro_mar,macro_gma,train_time_s,stopped_epoch
A1_Vanilla_Base,"[64, 32]",sequential,4202,0.3477777777777778,0.3477777777777778,0.07246913580246914,0.6522222222222223,0.4156956531001912,18.217841148376465,104
A3_Wide_Shallow,"[256, 128]",sequential,41354,0.3477777777777778,0.3477777777777778,0.07246913580246914,0.6522222222222223,0.4839639365791409,13.21386170387268,65
A4_Deep_Funnel,"[256, 128, 64, 32]",sequential,51114,0.3244444444444444,0.3244444444444444,0.07506172839506173,0.6755555555555557,0.4292909900452653,13.021982669830322,50
A7_Wide_Deep,"[512, 256, 128, 64]",sequential,188234,0.24555555555555555,0.24555555555555558,0.08382716049382716,0.7544444444444445,0.33947388930018374,15.944865226745605,50
A6_Deep_Constant,"[128, 128, 128, 128]",sequential,55690,0.24,0.24,0.08444444444444443,0.76,0.3085795174654498,13.802692651748657,50
A9_Pyramid,"[32, 64, 128, 256, 128, 64, 32]",sequential,90538,0.23333333333333334,0.23333333333333334,0.08518518518518518,0.7666666666666666,0.3252593696483994,17.320404052734375,50
A5_Deep_Diamond,"[64, 128, 256, 128, 64]",sequential,87114,0.2288888888888889,0.22888888888888886,0.08567901234567901,0.7711111111111112,0.3033917514155342,15.002360105514526,50
A8_Residual,"[128, 128, 128]",residual,106762,0.21666666666666667,0.21666666666666665,0.08703703703703704,0.7833333333333334,0.2693377359118342,17.492271661758423,50
A2_Medium_Standard,"[128, 64, 32]",sequential,14378,0.18888888888888888,0.18888888888888888,0.09012345679012346,0.8111111111111111,0.2368358106777782,11.034886360168457,50
A10_Narrow_Deep,"[48, 48, 48, 48, 48, 48]",sequential,14458,0.16666666666666666,0.16666666666666669,0.09259259259259259,0.8333333333333334,0.2619893602305134,14.83770227432251,50
