time[s],P_suc[bar],T_suc[degC],P_dis[bar],T_dis[degC],P_gc_mid[bar],T_gc_mid[degC],P_gc_out[bar],T_gc_out[degC],P_eva_in[bar],T_eva_in[degC],P_eva_out[bar],T_eva_out[degC],W_comp[kW],Q_heat_s1[kW],Q_heat_s2[kW],Q_heat_total[kW],COP[null],m_dot[kg/s],T_air_in[degC],T_mid[degC],T_air_out[degC],V_air_indoor[kg/min],T_amb[degC],V_air_outdoor[m/s],h_suc[kJ/kg],h_dis[kJ/kg],h_gc_mid[kJ/kg],h_gc_out[kJ/kg],h_eva_in[kJ/kg],h_eva_out[kJ/kg],N_comp[rpm],Valve_open[null],V_sep_liq[%],SH_suc[K],SH_evap[K],T_app[K],PR[null],eta_is[null],eta_v[null]
0,34.8091611206498,0,34.8091611206498,0,34.8091611206498,0,34.8091611206498,0,34.8091611206498,0,34.8091611206498,0,0,0,0,0,0,0,0,0,0,6,-20,2.5,237.469486247846,237.469486247846,237.469486247846,237.469486247846,237.469486247846,237.469486247846,2000,0.025,35.2038197769195,0.0458138978759166,0.0458138978759166,0,1,0.833245465878066,0
10,20.1761786457535,-16.8394076807465,67.180919899909,78.9293333358821,67.0768684810759,26.8760429867557,66.8980017628299,7.92435351686265,20.7921900055542,-18.1887473987868,20.6354106929584,-18.43778799387,0.79539225760297,1.96892534706184,0.763187226245112,2.73211257330695,3.43492477729236,0.0095091882730379,0,5.89422342622248,19.4502528512322,6,-20,2.5,440.166224878256,503.710620002817,296.655581178477,216.397708021308,414.884707446758,381.788638509394,2000,0.025,66.9597115966903,2.37726054681733,0.0419488834255901,7.92435351686265,3.32971476310994,0.833245465878066,0.807130553530337
10,20.1761786457535,-16.8394076807476,67.180919899909,78.9293333358817,67.0768684810759,26.8760429867557,66.8980017628299,7.92435351686186,20.7921900055542,-18.1887473987868,20.6354106929584,-18.43778799387,0.795392258116377,1.96892534833275,0.7631872267377,2.73211257507045,3.43492477729234,0.0095091882791759,0,5.89422342622254,19.4502528512322,6,-20,2.5,440.166224878256,503.710620002817,296.655581178475,216.39770802131,414.884707446758,381.788638509395,2000,0.025,66.9597115966903,2.37726054681636,0.0419488834255581,7.92435351686186,3.32971476310994,0.833245465878033,0.807130554051317
20,17.9340195117858,-22.4756206459785,68.9356129961986,85.1191633083793,68.8458549866838,28.0136895054437,68.6589683242094,3.99774358859145,18.5073567430393,-21.964190407271,18.3316266075018,-22.2684771983054,0.817629797523616,1.54380716516333,0.998153513595178,2.54196067875851,3.10893840520176,0.0083650777004508,0,8.80838216558163,23.4533241573384,6,-20,2.5,437.927235422228,510.423949873503,325.870115414784,206.546237103244,266.828956850001,346.92219658868,2000,0.025,68.8700560477792,0.526714660374584,0.0381880598313877,3.99774358859145,3.84384621366648,0.823969985786215,0.790747274907746
20,17.9340195117858,-22.4756206459782,68.9356129961986,85.1191633083792,68.8458549866837,28.0136895054437,68.6589683242094,3.9977435885919,18.5073567430393,-21.964190407271,18.3316266075018,-22.2684771983054,0.817629797523613,1.54380716516333,0.998153513595157,2.54196067875848,3.10893840520174,0.0083650777004508,0,8.80838216558163,23.4533241573384,6,-20,2.5,437.927235422228,510.423949873503,325.870115414785,206.546237103247,266.828956850001,346.92219658868,2000,0.025,68.8700560477792,0.526714660374861,0.0381880598313877,3.9977435885919,3.84384621366648,0.823969985786219,0.790747274907748
30,17.4333134989899,-23.5385500729063,65.0882499630617,81.2626538115427,64.993316897053,25.4993554296845,64.8040813569263,3.23726437371528,18.0197799600836,-22.813781816681,17.8315708292607,-23.1462542365235,0.785289447914632,1.18795191603962,1.3179780073518,2.50592992339142,3.19109078830235,0.0082542747095026,0,11.5885922966913,23.6723176179503,6,-20,2.5,437.718867204286,508.649885133766,364.730284945029,205.05810855932,249.687424864568,344.728262720116,2000,0.025,75.190674558794,0.356109105147734,0.037158358941614,3.23726437371528,3.73355587088094,0.821049430585177,0.802400032705474
30.0000000000001,17.4333134989899,-23.5385500729062,65.0882499630617,81.2626538115438,64.993316897053,25.4993554296845,64.8040813569263,3.23726437370982,18.0197799600836,-22.813781816681,17.8315708292607,-23.1462542365235,0.785289447914642,1.18795191603963,1.31797800735184,2.50592992339146,3.19109078830237,0.0082542747095026,0,11.5885922966913,23.6723176179503,6,-20,2.5,437.718867204286,508.649885133767,364.730284945029,205.058108559315,249.687424864568,344.728262720116,2000,0.025,75.190674558794,0.356109105147802,0.037158358941614,3.23726437370982,3.73355587088094,0.821049430585166,0.802400032705475
40,17.299067790983,-23.8168223755139,61.9727247863453,77.0401715755509,61.8749407399485,23.3641783184424,61.6868277571892,4.14429257040263,17.8943544203907,-23.035059736231,17.7048935260049,-23.3714843253914,0.751382333680324,0.947602076492929,1.51987421505448,2.46747629154741,3.28391576557508,0.0082706069393962,0,13.4999428084831,23.2209069823144,6,-20,2.5,437.673767543792,505.888513471774,391.313841572047,207.545682089735,249.352182751942,350.537418426574,2000,0.025,81.9466470841457,0.32026916571624,0.0368868142756185,4.14429257040263,3.58243146596882,0.823031163708153,0.810207790150266
40.0000000000001,17.299067790983,-23.8168223755139,61.9727247863453,77.0401715755519,61.8749407399485,23.3641783184423,61.6868277571891,4.14429257040513,17.8943544203907,-23.035059736231,17.7048935260049,-23.3714843253914,0.751382333680336,0.947602076492927,1.51987421505449,2.46747629154742,3.28391576557504,0.0082706069393962,0,13.4999428084831,23.2209069823144,6,-20,2.5,437.673767543792,505.888513471775,391.313841572048,207.545682089735,249.352182751942,350.537418426575,2000,0.025,81.9466470841457,0.32026916571624,0.0368868142756185,4.14429257040513,3.58243146596882,0.823031163708141,0.810207790150266
50,17.2703962889074,-23.8830866152473,60.3258385316545,74.5981803375261,60.2252214569871,23.6961967637663,60.0227427630943,5.95831903109553,17.8701504038628,-23.0778931508306,17.6817241522598,-23.4128083095,0.734241385265838,0.771188392061018,1.6576603160758,2.42884870813682,3.307970317224,0.0083190284728415,0,14.5603991048077,22.6080586303271,6,-20,2.5,437.655855939621,504.202581787655,411.500844490006,212.239557972303,253.115117404304,356.882133641625,2000,0.025,88.2315424951972,0.305961013529444,0.0368354400659427,5.95831903109553,3.49301993552986,0.824489458651357,0.816256307510042
50.0000000000001,17.2703962889074,-23.8830866152473,60.3258385316545,74.5981803375261,60.2252214569871,23.6961967637666,60.0227427630943,5.95831903109428,17.8701504038628,-23.0778931508306,17.6817241522598,-23.4128083095,0.734241385265837,0.771188392061023,1.65766031607584,2.42884870813686,3.30797031722405,0.0083190284728415,0,14.5603991048077,22.6080586303271,6,-20,2.5,437.655855939621,504.202581787655,411.500844490005,212.239557972298,253.115117404304,356.882133641625,2000,0.025,88.2315424951972,0.305961013529444,0.0368354400659427,5.95831903109428,3.49301993552986,0.824489458651357,0.816256307510042
60,17.1499237114904,-24.3724243391512,56.9507098056339,19.8172399896069,56.8500424239437,19.7266651473082,56.6258285013505,8.43220869564487,17.8711598863334,-23.0761058394535,17.689946692922,-23.3981383624479,0.610083237441246,0.207225196364878,1.8752047431147,2.08242993947958,3.41335380433252,0.0109028388837497,0,14.1048284155432,18.7671573189963,6,-20,2.5,367.601504045655,410.128822603435,391.122286913566,219.129949586669,258.052155803505,366.035128456052,2000,0.025,89.5144950143691,0.0356273279245727,0.0368536837092108,8.43220869564487,3.32075586828862,1,1
60.0000000000001,17.1499237114904,-24.3724243391512,56.9507098056339,19.8172399896069,56.8500424239437,19.7266651473082,56.6258285013505,8.43220869564112,17.8711598863334,-23.0761058394535,17.689946692922,-23.3981383624479,0.610083237441249,0.207225196364888,1.87520474311472,2.08242993947961,3.41335380433255,0.0109028388837497,0,14.1048284155432,18.7671573189963,6,-20,2.5,367.601504045655,410.128822603435,391.122286913566,219.129949586667,258.052155803505,366.035128456052,2000,0.025,89.5144950143691,0.0356273279245727,0.0368536837092108,8.43220869564112,3.32075586828862,1,1
70,17.2186826804585,-24.247130888146,57.6877992204883,21.2776391010653,57.581927227605,20.2722769591196,57.3173702450783,11.77117864618,17.9341934628554,-22.9646501616955,17.7532472949771,-23.2853709859678,0.616606162917273,0.405793948435796,1.59490914552836,2.00070309396416,3.24470174689542,0.0108484520266876,0,14.9646227358123,18.673472799116,6,-20,2.5,369.542339230658,412.681075163351,375.275374567771,228.258164959909,265.504223713761,369.940569075963,2000,0.025,89.513900055724,0.0357879304380049,0.036992845036167,11.77117864618,3.35030270846203,1,1
70.0000000000001,17.2186826804585,-24.247130888146,57.6877992204883,21.2776391010655,57.5819272276051,20.2722769591196,57.3173702450783,11.7711786461817,17.9341934628554,-22.9646501616955,17.7532472949771,-23.2853709859678,0.616606163369881,0.405793948733665,1.59490914669904,2.0007030954327,3.24470174689537,0.0108484520346504,0,14.9646227358123,18.6734727991162,6,-20,2.5,369.542339230658,412.681075163352,375.275374567771,228.258164959909,265.504223713761,369.940569075963,2000,0.025,89.513900055724,0.0357879304380049,0.036992845036167,11.7711786461817,3.35030270846203,1,1
