rank,feature,gini_importance,cumulative_importance
1,V_sep_liq[%],0.7126176081245937,0.7126176081245937
2,h_gc_out[kJ/kg],0.14997591701763252,0.8625935251422263
3,h_gc_mid[kJ/kg],0.044924490561023545,0.9075180157032499
4,T_mid[degC],0.036648899443850184,0.9441669151471
5,T_gc_mid[degC],0.022734757796834572,0.9669016729439346
6,T_gc_out[degC],0.013248397217204146,0.9801500701611388
7,Q_heat_s1[kW],0.00450272051033412,0.9846527906714728
8,h_suc[kJ/kg],0.002880710238688754,0.9875335009101616
9,T_dis[degC],0.002727586107427359,0.990261087017589
10,Q_heat_total[kW],0.0022066685409395793,0.9924677555585285
11,Q_heat_s2[kW],0.0009632669786131597,0.9934310225371417
12,h_dis[kJ/kg],0.0009470587211225433,0.9943780812582642
13,W_comp[kW],0.000789680509561769,0.995167761767826
14,h_eva_out[kJ/kg],0.0007892349731244508,0.9959569967409504
15,T_app[K],0.0006936704915592174,0.9966506672325096
16,P_dis[bar],0.00063350894385668,0.9972841761763663
17,P_gc_out[bar],0.0005282563497284088,0.9978124325260948
18,P_gc_mid[bar],0.00040680559637607113,0.9982192381224708
19,eta_v[null],0.0003113950644855394,0.9985306331869563
20,m_dot[kg/s],0.0003028140073107953,0.9988334471942671
21,T_eva_out[degC],0.00027757950670156235,0.9991110267009687
22,P_eva_in[bar],0.00025775239908002216,0.9993687791000487
23,h_eva_in[kJ/kg],0.00021809818383694186,0.9995868772838856
24,T_air_out[degC],0.00015757332899224053,0.9997444506128779
25,T_suc[degC],0.00014980481314052574,0.9998942554260184
26,COP[null],0.00010574457398154755,0.9999999999999999
27,P_suc[bar],0.0,0.9999999999999999
28,P_eva_out[bar],0.0,0.9999999999999999
29,V_air_indoor[kg/min],0.0,0.9999999999999999
30,T_air_in[degC],0.0,0.9999999999999999
31,T_eva_in[degC],0.0,0.9999999999999999
32,T_amb[degC],0.0,0.9999999999999999
33,V_air_outdoor[m/s],0.0,0.9999999999999999
34,N_comp[rpm],0.0,0.9999999999999999
35,Valve_open[null],0.0,0.9999999999999999
36,SH_evap[K],0.0,0.9999999999999999
37,SH_suc[K],0.0,0.9999999999999999
38,PR[null],0.0,0.9999999999999999
39,eta_is[null],0.0,0.9999999999999999
