rank,feature,gini_importance,cumulative_importance
1,h_gc_out[kJ/kg],0.22745936502235328,0.22745936502235328
2,T_dis[degC],0.06980898401895556,0.29726834904130883
3,h_gc_mid[kJ/kg],0.0633429412556906,0.36061129029699945
4,Q_heat_total[kW],0.03907815900939547,0.39968944930639494
5,SH_suc[K],0.037401284263022326,0.43709073356941724
6,h_eva_out[kJ/kg],0.03688783422311578,0.473978567792533
7,Q_heat_s2[kW],0.03157307351317038,0.5055516413057034
8,T_app[K],0.03124347020484994,0.5367951115105534
9,T_gc_mid[degC],0.031073108210328017,0.5678682197208814
10,T_air_out[degC],0.03048279712277175,0.5983510168436532
11,T_gc_out[degC],0.02970357668993813,0.6280545935335914
12,T_mid[degC],0.0274490531998113,0.6555036467334027
13,N_comp[rpm],0.027326532270229256,0.682830179003632
14,W_comp[kW],0.025575339799831263,0.7084055188034633
15,Q_heat_s1[kW],0.024990185659193424,0.7333957044626567
16,P_suc[bar],0.022976157146388995,0.7563718616090457
17,T_eva_out[degC],0.022293076630626033,0.7786649382396718
18,h_eva_in[kJ/kg],0.021664707331353433,0.8003296455710252
19,COP[null],0.020621619270134103,0.8209512648411592
20,T_suc[degC],0.019685919514328555,0.8406371843554877
21,PR[null],0.019268167682373067,0.8599053520378608
22,P_gc_out[bar],0.01804317623462654,0.8779485282724874
23,P_eva_out[bar],0.015526625455051946,0.8934751537275393
24,T_eva_in[degC],0.014421169959480512,0.9078963236870198
25,P_eva_in[bar],0.013040556912023925,0.9209368805990437
26,P_gc_mid[bar],0.012996966533839983,0.9339338471328836
27,P_dis[bar],0.012701365111112696,0.9466352122439964
28,SH_evap[K],0.012587723681617972,0.9592229359256144
29,h_dis[kJ/kg],0.009728719084211952,0.9689516550098263
30,eta_v[null],0.009256091180066057,0.9782077461898924
31,eta_is[null],0.008798460033342283,0.9870062062232347
32,Valve_open[null],0.004741212904041217,0.9917474191272758
33,m_dot[kg/s],0.0046937342033252765,0.9964411533306011
34,h_suc[kJ/kg],0.0035588466693990007,1.0000000000000002
35,V_air_indoor[kg/min],0.0,1.0000000000000002
36,T_air_in[degC],0.0,1.0000000000000002
37,V_air_outdoor[m/s],0.0,1.0000000000000002
38,T_amb[degC],0.0,1.0000000000000002
