architecture,hidden_layers,type,params,accuracy,macro_recall,macro_far,macro_mar,macro_gma,train_time_s,stopped_epoch
A8_Residual,"[128, 128, 128]",residual,107530,0.2531525101118249,0.2531444406741319,0.08299411503465431,0.7468555593258681,0.326341932643636,92.06848478317261,175
A6_Deep_Constant,"[128, 128, 128, 128]",sequential,56458,0.25243873423744945,0.2524154507408664,0.08307504571440634,0.7475845492591336,0.3299304308735958,69.57284331321716,181
A9_Pyramid,"[32, 64, 128, 256, 128, 64, 32]",sequential,90730,0.25243873423744945,0.25261904761904763,0.0830558806808214,0.7473809523809525,0.29683272356275936,33.69011902809143,60
A5_Deep_Diamond,"[64, 128, 256, 128, 64]",sequential,87498,0.25196288365453245,0.25198337292161516,0.08312418144967335,0.7480166270783848,0.33389479541440104,90.90906596183777,201
A4_Deep_Funnel,"[256, 128, 64, 32]",sequential,52650,0.2500594813228646,0.25023809523809526,0.08332019319360331,0.7497619047619049,0.2926541121798307,29.74995994567871,71
A7_Wide_Deep,"[512, 256, 128, 64]",sequential,191306,0.24982155603140613,0.24999886890623232,0.08334673208219633,0.7500011310937678,0.3010012623474851,37.077812910079956,65
A3_Wide_Shallow,"[256, 128]",sequential,42890,0.2491077801570307,0.24908664178260378,0.08344518527806702,0.7509133582173962,0.31910311430545085,47.630030155181885,153
A1_Vanilla_Base,"[64, 32]",sequential,4586,0.24791815369973827,0.24790464879538515,0.0835764538760826,0.7520953512046149,0.3059313809130913,32.05610179901123,117
A2_Medium_Standard,"[128, 64, 32]",sequential,15146,0.2476802284082798,0.24766542246352224,0.08360297878580356,0.7523345775364778,0.33130781741951687,35.48856568336487,111
A10_Narrow_Deep,"[48, 48, 48, 48, 48, 48]",sequential,14746,0.2476802284082798,0.24767164347924445,0.08360223790558473,0.7523283565207557,0.31931224356581883,31.16827368736267,76
