time[s],P_suc[bar],T_suc[degC],P_dis[bar],T_dis[degC],P_gc_mid[bar],T_gc_mid[degC],P_gc_out[bar],T_gc_out[degC],P_eva_in[bar],T_eva_in[degC],P_eva_out[bar],T_eva_out[degC],W_comp[kW],Q_heat_s1[kW],Q_heat_s2[kW],Q_heat_total[kW],COP[null],m_dot[kg/s],T_air_in[degC],T_mid[degC],T_air_out[degC],V_air_indoor[kg/min],T_amb[degC],V_air_outdoor[m/s],h_suc[kJ/kg],h_dis[kJ/kg],h_gc_mid[kJ/kg],h_gc_out[kJ/kg],h_eva_in[kJ/kg],h_eva_out[kJ/kg],N_comp[rpm],Valve_open[null],V_sep_liq[%],SH_suc[K],SH_evap[K],T_app[K],PR[null],eta_is[null],eta_v[null]
0,34.8091611206498,0,34.8091611206498,0,34.8091611206498,0,34.8091611206498,0,34.8091611206498,0,34.8091611206498,0,0,0,0,0,0,0,0,0,0,6,-20,2.5,284.45200095562,284.45200095562,284.45200095562,284.45200095562,284.45200095562,284.45200095562,2000,0.025,15.4486210197464,0.0458138978759166,0.0458138978759166,0,1,0.828029614386992,0
10,19.3051743982944,-12.7200801904399,53.9298768226137,68.9575790433511,53.8029286403605,17.3935823753532,53.5861424774497,11.9780746829337,19.9417121835431,-15.8486327337255,19.7888721379987,-19.6060009654904,0.665337430891824,0.937035238555973,1.59567836958539,2.53271360814136,3.8066603358637,0.0092702852359876,0,11.8287487066617,17.078280319992,6,-20,2.5,447.017113325968,502.88763925973,401.808199447203,229.679906847219,441.915913317451,437.447830855224,2000,0.025,30.3967494282606,7.92871559767377,0.241782983217036,11.9780746829337,2.79354517653973,0.828029614386992,0.85972499845261
10,19.3051743982944,-12.7200801904399,53.9298768226137,68.9575790433519,53.8029286403605,17.3935823753532,53.5861424774497,11.9780746829351,19.9417121835431,-15.8486327337262,19.7888721379987,-19.6060009654903,0.665337430529449,0.937035238045617,1.5956783687163,2.53271360676191,3.80666033586369,0.0092702852309385,0,11.8287487066617,17.078280319992,6,-20,2.5,447.017113325967,502.88763925973,401.808199447203,229.67990684722,441.915913317451,437.447830855225,2000,0.025,30.3967494282606,7.92871559767372,0.241782983217178,11.9780746829351,2.79354517653973,0.828029614386995,0.859724997984357
20,17.968842893031,-22.1177470455141,57.5806196418248,68.8439917209809,57.468193519349,21.9950737822562,57.2458003533739,10.8012094364638,18.5587450904338,-21.8756096435918,18.4094862122301,-20.3930682979698,0.70413073755697,0.733548443353474,1.68156740275554,2.41511584610901,3.42992532109651,0.0088218946866158,0,14.5182716640961,21.1697586441596,6,-20,2.5,438.295700478194,499.281511858494,416.130616340961,225.51766271925,327.102631541598,439.479266321175,2000,0.025,29.5824900641198,0.823210838386217,1.7786677344154,10.8012094364638,3.20447009218144,0.831212072667535,0.834246689905709
20,17.968842893031,-22.1177470455141,57.5806196418248,68.8439917209809,57.468193519349,21.9950737822558,57.245800353374,10.801209436461,18.5587450904337,-21.8756096435918,18.4094862122301,-20.3930682979697,0.704130737096524,0.733548442873789,1.68156740165594,2.41511584452973,3.42992532109653,0.008821894680847,0,14.5182716640961,21.1697586441596,6,-20,2.5,438.295700478194,499.281511858494,416.130616340962,225.517662719248,327.102631541598,439.479266321175,2000,0.025,29.5824900641198,0.823210838386217,1.77866773441547,10.801209436461,3.20447009218144,0.831212072667535,0.83424668936018
30,17.4547282617227,-23.4964055962326,57.2086772707809,69.161924072899,57.0980859319443,22.602078879845,56.8561648478043,12.8088611842142,18.0600245592233,-22.7430208851613,17.883805470973,-23.0537227993494,0.702104687425581,0.691494020129896,1.61316450943467,2.30465852956457,3.2824998477294,0.0085782065451273,0,14.9319494417795,21.8055035266984,6,-20,2.5,437.723381955834,500.051924659641,419.441366206408,231.387546221041,278.963638963854,383.573284316757,2000,0.025,31.5061088591961,0.359707672202717,0.0372704606714365,12.8088611842142,3.27754614182316,0.829292181106799,0.832855129323767
30.0000000000001,17.4547282617227,-23.4964055962326,57.2086772707809,69.161924072899,57.0980859319442,22.602078879845,56.8561648478043,12.8088611842132,18.0600245592233,-22.7430208851613,17.883805470973,-23.0537227993494,0.702104687425576,0.691494020129892,1.61316450943465,2.30465852956454,3.28249984772939,0.0085782065451273,0,14.9319494417795,21.8055035266984,6,-20,2.5,437.723381955834,500.051924659641,419.441366206408,231.387546221043,278.963638963854,383.573284316757,2000,0.025,31.5061088591961,0.359707672202717,0.0372704606714365,12.8088611842132,3.27754614182316,0.829292181106799,0.832855129323767
40,17.4007111406973,-23.6640538853402,56.2975135087638,67.803489884776,56.1854842725041,22.374263762485,55.9327063313849,15.5063562775849,18.0091208322396,-22.8325425606113,17.8326414180183,-23.14435576239,0.692528830987737,0.66469845103411,1.56068892188995,2.22538737292406,3.21342198815037,0.0085880267803234,0,14.8104137501561,21.5874278211466,6,-20,2.5,437.636322164448,499.163518568285,421.765244431897,240.036779697047,282.367938289822,388.262195110225,2000,0.025,35.0767066166271,0.289355235603665,0.0371606380849983,15.5063562775849,3.23535705256859,0.829333049775203,0.836014836557913
40.0000000000001,17.4007111406973,-23.6640538853402,56.2975135087638,67.803489884776,56.1854842725041,22.3742637624848,55.9327063313849,15.5063562775849,18.0091208322396,-22.8325425606113,17.8326414180183,-23.14435576239,0.692528830987737,0.664698451034112,1.56068892188997,2.22538737292408,3.21342198815039,0.0085880267803234,0,14.8104137501561,21.5874278211466,6,-20,2.5,437.636322164448,499.163518568285,421.765244431897,240.036779697045,282.367938289822,388.262195110225,2000,0.025,35.0767066166271,0.289355235603665,0.0371606380849983,15.5063562775849,3.23535705256859,0.829333049775203,0.836014836557913
50,17.4257076313535,-23.6310404117902,55.3866523781053,66.2233737775073,55.2721642512919,21.9086727640679,55.0073637481439,17.8171593292423,18.0343816108678,-22.7880949432189,17.8625647792985,-23.0913260261609,0.682485464222807,0.645899365213657,1.51165118184285,2.15755054705651,3.16131355195009,0.0086471274283817,0,14.5474867563439,21.147600220609,6,-20,2.5,437.621526938393,497.999176005183,423.303923672752,248.488507297451,291.917448274006,399.453661286212,2000,0.025,38.1172559669579,0.277317446312907,0.0372247291392966,17.8171593292423,3.17844494753544,0.830506873012993,0.840437693694112
