number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout_rate,params_learning_rate,params_n_layers,params_n_units_per_layer,state
0,157.30532836914062,2026-05-11 16:56:26.278254,2026-05-11 16:57:11.590675,0 days 00:00:45.312421,relu,32,0.297692949626266,0.000862268151967963,3,128,COMPLETE
1,158.3836669921875,2026-05-11 16:57:11.592885,2026-05-11 16:57:34.790848,0 days 00:00:23.197963,relu,16,0.02635142198475684,0.0018187497667064084,1,128,COMPLETE
2,159.80226135253906,2026-05-11 16:57:34.790848,2026-05-11 16:57:52.944075,0 days 00:00:18.153227,elu,32,0.11578386395312769,0.0006905184867332697,2,16,COMPLETE
3,159.70799255371094,2026-05-11 16:57:52.945079,2026-05-11 16:58:42.519780,0 days 00:00:49.574701,elu,16,0.29570605691856716,0.0018926776660778519,1,16,COMPLETE
4,159.6974639892578,2026-05-11 16:58:42.520783,2026-05-11 16:59:47.814263,0 days 00:01:05.293480,relu,16,0.10944438103532651,0.0007750414853713676,1,16,COMPLETE
5,158.91908264160156,2026-05-11 16:59:47.815266,2026-05-11 17:00:07.895488,0 days 00:00:20.080222,elu,16,0.06457223223466939,0.00030281821066398734,3,64,COMPLETE
6,158.56045532226562,2026-05-11 17:00:07.895488,2026-05-11 17:00:25.719500,0 days 00:00:17.824012,relu,16,0.23787503905997173,0.0008545477000953175,3,64,COMPLETE
7,160.51022338867188,2026-05-11 17:00:25.719500,2026-05-11 17:01:32.210094,0 days 00:01:06.490594,elu,16,0.2035571811126685,0.00021775626002417265,3,16,COMPLETE
8,159.31752014160156,2026-05-11 17:01:32.211100,2026-05-11 17:01:48.364529,0 days 00:00:16.153429,relu,16,0.23610215601621773,0.00028892006758307284,3,128,COMPLETE
9,159.04141235351562,2026-05-11 17:01:48.365639,2026-05-11 17:02:03.625846,0 days 00:00:15.260207,relu,32,0.11015352002430692,0.004215903334399213,1,64,COMPLETE
10,161.71597290039062,2026-05-11 17:02:03.625846,2026-05-11 17:02:11.858822,0 days 00:00:08.232976,relu,32,0.29816293498086954,0.04394838977241356,2,32,COMPLETE
11,155.28924560546875,2026-05-11 17:02:11.858822,2026-05-11 17:03:03.437101,0 days 00:00:51.578279,relu,32,0.0016752613060292097,0.004846948217653093,2,128,COMPLETE
12,157.7307891845703,2026-05-11 17:03:03.438110,2026-05-11 17:03:19.953966,0 days 00:00:16.515856,relu,32,0.009153461471329921,0.008079161293511253,2,128,COMPLETE
13,158.7650909423828,2026-05-11 17:03:19.955070,2026-05-11 17:03:32.629826,0 days 00:00:12.674756,relu,32,0.17386095885950353,0.01090450076879558,2,128,COMPLETE
14,158.3218536376953,2026-05-11 17:03:32.630828,2026-05-11 17:04:03.704079,0 days 00:00:31.073251,relu,32,0.06128168104444692,0.00011298594424378424,2,128,COMPLETE
15,160.0733184814453,2026-05-11 17:04:03.705087,2026-05-11 17:04:13.550427,0 days 00:00:09.845340,relu,32,0.15191221733411073,0.017076713459290453,3,32,COMPLETE
16,158.537353515625,2026-05-11 17:04:13.551448,2026-05-11 17:04:22.930237,0 days 00:00:09.378789,relu,32,0.2550599890804779,0.004266704102146196,2,128,COMPLETE
17,158.87664794921875,2026-05-11 17:04:22.930237,2026-05-11 17:04:36.172668,0 days 00:00:13.242431,relu,32,0.18193506273090734,0.003437545460397936,3,128,COMPLETE
18,160.8008575439453,2026-05-11 17:04:36.173673,2026-05-11 17:04:46.284239,0 days 00:00:10.110566,elu,32,0.06386392428566802,0.025240548757759378,2,128,COMPLETE
19,159.03590393066406,2026-05-11 17:04:46.285321,2026-05-11 17:05:01.032261,0 days 00:00:14.746940,relu,32,0.14171595827605998,0.0012493548328884824,2,32,COMPLETE
20,158.75953674316406,2026-05-11 17:05:01.033269,2026-05-11 17:05:24.063774,0 days 00:00:23.030505,relu,32,0.2674151671985944,0.006222953055078892,3,128,COMPLETE
21,158.92567443847656,2026-05-11 17:05:24.064797,2026-05-11 17:05:34.084219,0 days 00:00:10.019422,relu,32,0.02331848774291978,0.009247518321291105,2,128,COMPLETE
22,158.44578552246094,2026-05-11 17:05:34.085433,2026-05-11 17:05:45.858080,0 days 00:00:11.772647,relu,32,0.0006636590962887379,0.002647766347623973,2,128,COMPLETE
23,157.871337890625,2026-05-11 17:05:45.858080,2026-05-11 17:06:01.961632,0 days 00:00:16.103552,relu,32,0.0001954262101237659,0.009960818174132963,2,128,COMPLETE
24,158.14439392089844,2026-05-11 17:06:01.962827,2026-05-11 17:06:10.938100,0 days 00:00:08.975273,relu,32,0.03980831840595561,0.016949266807203735,2,128,COMPLETE
25,158.52786254882812,2026-05-11 17:06:10.938100,2026-05-11 17:06:21.795315,0 days 00:00:10.857215,relu,32,0.042508655016197994,0.006184159007019142,1,128,COMPLETE
26,159.4178009033203,2026-05-11 17:06:21.796518,2026-05-11 17:06:32.367116,0 days 00:00:10.570598,elu,32,0.08770491859359619,0.0004808462124469705,3,128,COMPLETE
27,158.9654541015625,2026-05-11 17:06:32.368116,2026-05-11 17:06:49.121859,0 days 00:00:16.753743,relu,32,0.2093065494408874,0.0011019549600902537,2,32,COMPLETE
