number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout_rate,params_learning_rate,params_n_layers,params_n_units_per_layer,state
0,0.2512243390083313,2026-05-11 19:30:36.049128,2026-05-11 19:31:45.389480,0 days 00:01:09.340352,relu,16,0.16481318374482434,0.0011852945224391067,1,16,COMPLETE
1,0.47425997257232666,2026-05-11 19:31:45.390660,2026-05-11 19:31:58.088978,0 days 00:00:12.698318,elu,32,0.17060612800021094,0.017481576671550828,1,16,COMPLETE
2,0.7022737264633179,2026-05-11 19:31:58.089978,2026-05-11 19:32:14.212219,0 days 00:00:16.122241,elu,32,0.13458077468673704,0.0019525027298449586,3,16,COMPLETE
3,0.29569485783576965,2026-05-11 19:32:14.213220,2026-05-11 19:33:03.113590,0 days 00:00:48.900370,elu,32,0.09233502130414517,0.0001096362905281291,1,64,COMPLETE
4,2.080270767211914,2026-05-11 19:33:03.114594,2026-05-11 19:33:21.193732,0 days 00:00:18.079138,relu,16,0.14900744712312092,0.010621116830715557,3,32,COMPLETE
5,1.196606159210205,2026-05-11 19:33:21.194843,2026-05-11 19:34:09.667796,0 days 00:00:48.472953,relu,32,0.0879609924045977,0.00013895029131413543,1,32,COMPLETE
6,0.6136699318885803,2026-05-11 19:34:09.668800,2026-05-11 19:34:49.113096,0 days 00:00:39.444296,elu,32,0.2587347900440164,0.0006918740157348122,1,16,COMPLETE
7,0.3192910850048065,2026-05-11 19:34:49.114099,2026-05-11 19:36:14.063959,0 days 00:01:24.949860,elu,16,0.2351517289034341,0.00013738343250513572,3,64,COMPLETE
8,0.8168368339538574,2026-05-11 19:36:14.065035,2026-05-11 19:37:37.654773,0 days 00:01:23.589738,relu,16,0.04967063930780998,0.00025338009020899646,1,16,COMPLETE
9,0.3170716464519501,2026-05-11 19:37:37.656176,2026-05-11 19:38:08.375578,0 days 00:00:30.719402,relu,16,0.15365946031257738,0.0002810806007585105,3,128,COMPLETE
10,0.23766598105430603,2026-05-11 19:38:08.376582,2026-05-11 19:38:39.272595,0 days 00:00:30.896013,relu,16,0.011604521318103606,0.00495310507377491,2,128,COMPLETE
11,0.4332544505596161,2026-05-11 19:38:39.273930,2026-05-11 19:38:52.656211,0 days 00:00:13.382281,relu,16,0.025808720340467523,0.004128647216153883,2,128,COMPLETE
12,0.38790470361709595,2026-05-11 19:38:52.657445,2026-05-11 19:39:10.399054,0 days 00:00:17.741609,relu,16,0.20918277336649543,0.00189294931286868,2,128,COMPLETE
13,8.773633003234863,2026-05-11 19:39:10.400064,2026-05-11 19:39:21.272868,0 days 00:00:10.872804,relu,16,0.29522146091171725,0.03954665504752615,2,128,COMPLETE
14,0.4486004710197449,2026-05-11 19:39:21.273907,2026-05-11 19:39:38.408551,0 days 00:00:17.134644,relu,16,0.0928454642278657,0.004543593660252493,2,16,COMPLETE
15,0.05227148160338402,2026-05-11 19:39:38.409557,2026-05-11 19:40:33.349610,0 days 00:00:54.940053,relu,16,0.0033124725320829995,0.0007932081219533326,2,128,COMPLETE
16,0.11294780671596527,2026-05-11 19:40:33.349610,2026-05-11 19:41:19.830075,0 days 00:00:46.480465,relu,16,0.008511126073553546,0.0006385904824509058,2,128,COMPLETE
17,0.12637995183467865,2026-05-11 19:41:19.831078,2026-05-11 19:42:04.063709,0 days 00:00:44.232631,relu,16,0.05266596232878316,0.0005102498737441778,2,128,COMPLETE
18,0.13210146129131317,2026-05-11 19:42:04.063709,2026-05-11 19:42:43.988424,0 days 00:00:39.924715,relu,16,0.008436798981500534,0.0006979136946649746,2,128,COMPLETE
19,0.14246779680252075,2026-05-11 19:42:43.989438,2026-05-11 19:43:26.988659,0 days 00:00:42.999221,relu,16,0.04829961286284764,0.00032270483404441756,2,128,COMPLETE
20,0.13085071742534637,2026-05-11 19:43:26.989680,2026-05-11 19:44:06.423096,0 days 00:00:39.433416,relu,16,0.0007451699651790811,0.0012462659682849504,3,64,COMPLETE
21,0.15116159617900848,2026-05-11 19:44:06.423096,2026-05-11 19:44:41.481977,0 days 00:00:35.058881,relu,16,0.04880235188437654,0.000526650132448548,2,128,COMPLETE
22,0.14069022238254547,2026-05-11 19:44:41.483001,2026-05-11 19:45:34.655861,0 days 00:00:53.172860,relu,16,0.0676469258136995,0.00046223966395892135,2,128,COMPLETE
23,0.11205233633518219,2026-05-11 19:45:34.657010,2026-05-11 19:46:09.396125,0 days 00:00:34.739115,relu,16,0.03547944339880361,0.001058845173285257,2,128,COMPLETE
24,0.3507201671600342,2026-05-11 19:46:09.396125,2026-05-11 19:46:39.033546,0 days 00:00:29.637421,relu,16,0.11107909870989927,0.001017760306905372,2,32,COMPLETE
25,0.28342339396476746,2026-05-11 19:46:39.034558,2026-05-11 19:47:15.514114,0 days 00:00:36.479556,relu,16,0.029849774080325023,0.0030133116263503126,2,128,COMPLETE
26,0.21795648336410522,2026-05-11 19:47:15.515127,2026-05-11 19:47:29.745945,0 days 00:00:14.230818,elu,32,0.026515234061887438,0.0010175887483120255,3,128,COMPLETE
27,0.17898987233638763,2026-05-11 19:47:29.746946,2026-05-11 19:48:12.434442,0 days 00:00:42.687496,relu,16,0.06952201719873116,0.00022047044211377873,2,128,COMPLETE
28,0.3844735324382782,2026-05-11 19:48:12.435447,2026-05-11 19:48:29.466373,0 days 00:00:17.030926,relu,16,0.000544378638039994,0.0085168907324864,2,128,COMPLETE
29,0.14973367750644684,2026-05-11 19:48:29.467387,2026-05-11 19:49:26.746780,0 days 00:00:57.279393,relu,16,0.031014907216526666,0.0014775715270559126,1,32,COMPLETE
30,0.26197588443756104,2026-05-11 19:49:26.747780,2026-05-11 19:49:56.169629,0 days 00:00:29.421849,relu,16,0.11431631630418022,0.000809036793313812,2,64,COMPLETE
31,0.23538152873516083,2026-05-11 19:49:56.170634,2026-05-11 19:50:28.331045,0 days 00:00:32.160411,relu,16,0.06551099907385204,0.00042857789407839555,2,128,COMPLETE
32,0.2183840572834015,2026-05-11 19:50:28.332046,2026-05-11 19:51:04.558680,0 days 00:00:36.226634,relu,16,0.042997095524629686,0.00267418414858735,2,128,COMPLETE
33,0.12427784502506256,2026-05-11 19:51:04.560680,2026-05-11 19:51:39.732049,0 days 00:00:35.171369,relu,16,0.01867075613599241,0.0006424157449931782,2,128,COMPLETE
34,0.20719675719738007,2026-05-11 19:51:39.733053,2026-05-11 19:51:55.900231,0 days 00:00:16.167178,elu,32,0.1811723255258227,0.0017159423050542289,1,128,COMPLETE
35,0.10811198502779007,2026-05-11 19:51:55.901242,2026-05-11 19:52:47.526901,0 days 00:00:51.625659,relu,16,0.020073183453212063,0.0008487103040349147,2,128,COMPLETE
36,0.29254382848739624,2026-05-11 19:52:47.527905,2026-05-11 19:53:07.087831,0 days 00:00:19.559926,elu,32,0.07729612921215259,0.0010070982437781469,3,128,COMPLETE
37,0.25357651710510254,2026-05-11 19:53:07.088839,2026-05-11 19:54:30.932108,0 days 00:01:23.843269,relu,16,0.036927779198084744,0.0003635663049866393,1,32,COMPLETE
38,0.24039632081985474,2026-05-11 19:54:30.933107,2026-05-11 19:55:18.931787,0 days 00:00:47.998680,elu,32,0.015077284998475857,0.0001835372549123162,2,16,COMPLETE
39,0.6735254526138306,2026-05-11 19:55:18.932881,2026-05-11 19:55:32.742151,0 days 00:00:13.809270,relu,16,0.122783632175888,0.002212674275995942,3,64,COMPLETE
40,0.22323386371135712,2026-05-11 19:55:32.743197,2026-05-11 19:55:50.603515,0 days 00:00:17.860318,relu,32,0.18491741818518243,0.001375138801202812,1,128,COMPLETE
41,0.23644353449344635,2026-05-11 19:55:50.604519,2026-05-11 19:56:13.216434,0 days 00:00:22.611915,relu,16,0.020654986437792913,0.0007162431170267255,2,128,COMPLETE
